timestamp;userlevel;groupevent;value1;value2;value3;value4
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
14586987;8;220;2134;2345;1234;2345
14588678;8;221;214;345;134;345
14581987;8;222;214;234;124;234
